sequence,latency,cpu,memory,risk,severity,trend,likely_cause,prediction,actual_phase,actual_anomaly
1,40.99,11.59,77.52,0.03,NORMAL,MIXED / STABLE,Memory pressure,No strong failure trajectory detected,stable,0
2,43.18,11.4,76.84,3.85,NORMAL,MIXED / STABLE,Latency degradation,No strong failure trajectory detected,stable,0
3,43.44,14.51,76.68,16.66,NORMAL,MIXED / STABLE,CPU pressure,No strong failure trajectory detected,stable,0
4,41.48,10.92,76.7,12.85,NORMAL,MIXED / STABLE,Latency degradation,No strong failure trajectory detected,stable,0
5,41.0,6.67,75.72,3.25,NORMAL,RECOVERING,Latency degradation,System is recovering,stable,0
6,39.5,9.47,77.38,3.9,NORMAL,RECOVERING,Memory pressure,System is recovering,stable,0
7,38.92,8.38,78.33,5.22,NORMAL,MIXED / STABLE,Memory pressure,No strong failure trajectory detected,stable,0
8,40.44,12.92,76.04,5.64,NORMAL,MIXED / STABLE,Memory pressure,No strong failure trajectory detected,stable,0
9,39.91,13.15,76.28,12.71,NORMAL,MIXED / STABLE,CPU pressure,No strong failure trajectory detected,stable,0
10,41.93,11.12,77.0,17.94,NORMAL,DETERIORATING,CPU pressure,Potential degradation developing,stable,0
11,40.04,18.58,77.25,25.41,EARLY WARNING,DETERIORATING,CPU pressure,Early deterioration detected,stable,0
12,39.22,15.6,76.31,16.34,NORMAL,MIXED / STABLE,CPU pressure,No strong failure trajectory detected,stable,0
13,41.97,7.35,76.25,13.84,NORMAL,MIXED / STABLE,CPU pressure,No strong failure trajectory detected,stable,0
14,42.08,15.55,77.47,20.3,NORMAL,DETERIORATING,CPU pressure,Potential degradation developing,stable,0
15,41.55,12.53,76.18,8.82,NORMAL,MIXED / STABLE,Latency degradation,No strong failure trajectory detected,stable,0
16,40.41,12.16,78.23,12.04,NORMAL,MIXED / STABLE,Memory pressure,No strong failure trajectory detected,stable,0
17,42.77,8.35,77.67,11.56,NORMAL,MIXED / STABLE,Latency degradation,No strong failure trajectory detected,stable,0
18,41.37,11.71,77.93,12.95,NORMAL,MIXED / STABLE,Memory pressure,No strong failure trajectory detected,stable,0
19,44.49,16.64,76.79,22.52,NORMAL,DETERIORATING,CPU pressure,Potential degradation developing,stable,0
20,41.78,14.94,78.27,17.42,NORMAL,DETERIORATING,CPU pressure,Potential degradation developing,stable,0
21,41.54,13.49,76.63,16.36,NORMAL,DETERIORATING,CPU pressure,Potential degradation developing,stable,0
22,40.14,16.59,78.62,12.49,NORMAL,MIXED / STABLE,CPU pressure,No strong failure trajectory detected,stable,0
23,42.67,17.27,77.85,18.28,NORMAL,MIXED / STABLE,CPU pressure,No strong failure trajectory detected,stable,0
24,41.56,15.44,78.82,14.99,NORMAL,MIXED / STABLE,CPU pressure,No strong failure trajectory detected,stable,0
25,43.0,19.16,75.52,15.08,NORMAL,MIXED / STABLE,CPU pressure,No strong failure trajectory detected,stable,0
26,44.98,14.83,77.4,16.88,NORMAL,MIXED / STABLE,Latency degradation,No strong failure trajectory detected,stable,0
27,43.53,8.7,77.49,11.5,NORMAL,MIXED / STABLE,Latency degradation,No strong failure trajectory detected,stable,0
28,44.24,19.2,77.28,17.72,NORMAL,MIXED / STABLE,CPU pressure,No strong failure trajectory detected,stable,0
29,41.83,13.37,78.45,13.78,NORMAL,MIXED / STABLE,Memory pressure,No strong failure trajectory detected,stable,0
30,44.44,13.39,78.15,16.06,NORMAL,MIXED / STABLE,Latency degradation,No strong failure trajectory detected,stable,0
31,44.06,17.98,77.21,19.12,NORMAL,MIXED / STABLE,CPU pressure,No strong failure trajectory detected,stable,0
32,43.25,14.0,76.62,8.8,NORMAL,MIXED / STABLE,Latency degradation,No strong failure trajectory detected,stable,0
33,44.76,16.07,77.82,18.1,NORMAL,MIXED / STABLE,CPU pressure,No strong failure trajectory detected,stable,0
34,43.71,11.14,77.51,8.85,NORMAL,MIXED / STABLE,Latency degradation,No strong failure trajectory detected,stable,0
35,43.6,13.08,77.74,9.69,NORMAL,MIXED / STABLE,Latency degradation,No strong failure trajectory detected,stable,0
36,45.39,21.25,78.04,28.01,EARLY WARNING,DETERIORATING,CPU pressure,Early deterioration detected,stable,0
37,45.19,15.47,76.39,20.57,NORMAL,DETERIORATING,Latency degradation,Potential degradation developing,stable,0
