response_time_ms,phase,actual_anomaly
44.82,normal,0
36.76,normal,0
44.7,normal,0
43.01,normal,0
41.48,normal,0
39.41,normal,0
38.36,normal,0
40.57,normal,0
44.95,normal,0
44.69,normal,0
42.2,normal,0
37.46,normal,0
38.5,normal,0
38.37,normal,0
42.02,normal,0
39.7,normal,0
36.81,normal,0
146.69,normal,0
37.07,normal,0
38.98,normal,0
37.6,normal,0
39.51,normal,0
43.5,normal,0
43.82,normal,0
38.93,normal,0
46.73,normal,0
39.0,normal,0
34.77,normal,0
36.07,normal,0
38.08,normal,0
39.52,normal,0
2040.44,abnormal,1
2035.92,abnormal,1
2032.48,abnormal,1
2041.48,abnormal,1
2043.85,abnormal,1
2041.39,abnormal,1
2043.32,abnormal,1
2033.85,abnormal,1
2039.38,abnormal,1
2036.28,abnormal,1
2037.32,abnormal,1
2041.12,abnormal,1
2041.05,abnormal,1
2039.19,abnormal,1
2040.59,abnormal,1
2035.74,abnormal,1
2034.34,abnormal,1
2036.29,abnormal,1
2042.13,abnormal,1
2041.74,abnormal,1
2034.87,abnormal,1
2037.22,abnormal,1
2035.37,abnormal,1
2042.33,abnormal,1
2039.38,abnormal,1
2042.45,abnormal,1
38.61,recovery,0
44.28,recovery,0
41.61,recovery,0
39.49,recovery,0
42.0,recovery,0
35.22,recovery,0
39.64,recovery,0
43.53,recovery,0
41.05,recovery,0
39.25,recovery,0
