response_time_ms,cpu_percent,memory_percent,phase,actual_anomaly
589.76,21.27,78.89,latency_degradation,1
55.23,25.21,83.88,recovery,0
157.86,18.79,95.17,memory_pressure,1
43.5,12.0,77.42,normal,0
488.91,15.39,81.1,latency_degradation,1
556.14,24.36,80.44,latency_degradation,1
176.61,19.86,96.11,memory_pressure,1
199.79,91.12,80.26,cpu_stress,1
39.75,9.94,78.63,normal,0
123.9,15.23,96.07,memory_pressure,1
494.2,15.28,79.8,latency_degradation,1
38.74,14.61,78.68,normal,0
654.4,18.3,79.03,latency_degradation,1
48.2,11.08,77.36,normal,0
171.54,23.78,96.56,memory_pressure,1
467.39,14.44,79.21,latency_degradation,1
57.68,29.61,86.02,recovery,0
474.39,12.94,75.69,latency_degradation,1
147.39,91.35,79.73,cpu_stress,1
170.78,18.78,95.71,memory_pressure,1
50.58,18.17,73.95,normal,0
165.91,83.89,79.49,cpu_stress,1
454.68,14.94,76.19,latency_degradation,1
47.61,15.54,80.05,recovery,0
200.64,92.07,81.61,cpu_stress,1
38.04,12.17,78.2,normal,0
58.06,26.17,82.98,recovery,0
69.77,29.09,81.28,recovery,0
113.96,15.91,98.05,memory_pressure,1
497.74,23.52,79.23,latency_degradation,1
40.46,11.62,79.22,normal,0
161.55,19.83,98.28,memory_pressure,1
41.06,7.92,77.16,normal,0
41.86,22.82,72.76,normal,0
483.64,4.52,78.89,latency_degradation,1
172.78,89.61,77.35,cpu_stress,1
41.1,15.34,75.15,normal,0
47.77,7.82,80.33,normal,0
45.25,8.85,78.45,normal,0
42.33,26.57,74.27,normal,0
40.46,15.57,79.32,normal,0
39.14,18.4,76.54,normal,0
50.58,29.43,82.41,recovery,0
44.5,10.71,75.86,normal,0
42.87,15.23,76.7,normal,0
35.94,12.77,79.71,normal,0
457.74,10.96,75.89,latency_degradation,1
477.51,21.55,79.89,latency_degradation,1
163.07,92.88,78.71,cpu_stress,1
536.96,20.97,78.38,latency_degradation,1
176.71,18.22,96.79,memory_pressure,1
173.26,91.59,82.0,cpu_stress,1
509.02,16.18,78.89,latency_degradation,1
46.36,15.32,75.84,normal,0
59.06,32.47,84.34,recovery,0
54.72,26.64,85.1,recovery,0
40.03,12.05,79.7,normal,0
42.8,12.0,78.14,normal,0
164.71,29.63,93.78,memory_pressure,1
45.29,15.44,77.4,normal,0
519.57,11.74,80.85,latency_degradation,1
47.81,13.68,83.44,normal,0
38.37,7.94,80.93,normal,0
151.76,22.07,95.35,memory_pressure,1
175.03,14.98,96.82,memory_pressure,1
42.39,19.84,76.6,normal,0
41.71,20.02,78.72,normal,0
49.98,37.69,83.42,recovery,0
41.02,11.23,76.22,normal,0
167.89,22.47,96.43,memory_pressure,1
154.85,81.93,81.32,cpu_stress,1
234.75,83.96,77.32,cpu_stress,1
478.34,23.8,76.84,latency_degradation,1
182.88,27.03,95.38,memory_pressure,1
226.9,92.75,77.85,cpu_stress,1
57.31,42.19,80.72,recovery,0
40.1,11.73,81.53,normal,0
50.49,20.16,74.96,normal,0
42.23,9.29,78.72,normal,0
50.1,22.29,82.57,recovery,0
177.63,24.95,98.22,memory_pressure,1
146.01,26.28,95.83,memory_pressure,1
40.76,16.66,79.95,normal,0
216.28,92.8,83.31,cpu_stress,1
42.75,11.69,79.7,normal,0
186.12,85.47,78.06,cpu_stress,1
179.52,82.99,78.96,cpu_stress,1
38.91,13.82,77.03,normal,0
39.12,12.7,80.11,normal,0
39.59,24.26,77.97,normal,0
172.66,38.62,96.27,memory_pressure,1
195.26,87.9,79.23,cpu_stress,1
36.49,10.31,79.03,normal,0
479.44,16.14,76.18,latency_degradation,1
41.89,15.3,82.93,normal,0
43.37,6.18,78.65,normal,0
152.31,31.04,95.13,memory_pressure,1
179.18,77.66,78.82,cpu_stress,1
73.39,22.46,81.11,recovery,0
44.24,20.42,80.11,normal,0
426.67,21.56,78.52,latency_degradation,1
44.06,17.58,85.71,normal,0
40.69,13.04,75.07,normal,0
147.92,25.52,95.77,memory_pressure,1
63.43,24.72,83.36,recovery,0
453.33,12.45,82.5,latency_degradation,1
231.52,96.78,78.5,cpu_stress,1
46.12,19.66,76.32,normal,0
188.83,10.17,94.8,memory_pressure,1
43.12,11.89,77.58,normal,0
137.17,94.77,78.77,cpu_stress,1
61.67,28.21,81.86,recovery,0
43.78,18.87,76.15,normal,0
531.06,14.37,79.37,latency_degradation,1
528.36,19.28,80.97,latency_degradation,1
162.04,86.93,79.62,cpu_stress,1
137.42,87.72,79.77,cpu_stress,1
50.86,26.57,81.97,recovery,0
150.45,27.87,96.5,memory_pressure,1
528.86,19.12,77.42,latency_degradation,1
43.65,19.11,81.79,normal,0
170.02,19.13,96.15,memory_pressure,1
183.36,26.53,96.51,memory_pressure,1
198.19,16.61,96.84,memory_pressure,1
182.89,93.9,79.14,cpu_stress,1
60.6,20.97,82.24,recovery,0
41.23,16.51,77.93,normal,0
160.82,92.36,79.37,cpu_stress,1
164.96,22.24,94.73,memory_pressure,1
50.75,20.64,80.89,recovery,0
151.88,80.33,81.56,cpu_stress,1
159.36,86.39,79.83,cpu_stress,1
146.99,22.08,95.11,memory_pressure,1
216.88,92.29,78.68,cpu_stress,1
47.65,17.97,80.46,recovery,0
56.57,32.22,79.03,recovery,0
155.58,28.69,97.14,memory_pressure,1
165.19,19.57,96.96,memory_pressure,1
146.96,25.28,94.71,memory_pressure,1
48.32,18.84,77.06,normal,0
185.8,80.76,76.19,cpu_stress,1
136.03,82.08,74.92,cpu_stress,1
126.77,24.6,94.18,memory_pressure,1
192.98,95.66,78.78,cpu_stress,1
398.45,25.65,78.68,latency_degradation,1
56.42,15.65,82.76,recovery,0
165.02,77.38,77.95,cpu_stress,1
44.75,6.94,77.06,normal,0
43.32,12.35,79.03,normal,0
43.62,8.7,79.84,normal,0
51.17,33.79,80.21,recovery,0
194.88,83.91,83.18,cpu_stress,1
565.49,24.23,74.85,latency_degradation,1
192.9,23.51,96.86,memory_pressure,1
54.6,29.72,79.75,recovery,0
599.93,23.07,75.32,latency_degradation,1
484.7,25.52,73.7,latency_degradation,1
43.54,10.58,78.31,normal,0
180.75,21.94,95.6,memory_pressure,1
40.06,21.33,76.58,normal,0
422.3,16.32,82.34,latency_degradation,1
166.23,43.47,97.68,memory_pressure,1
42.84,5.2,75.34,normal,0
43.62,24.43,78.35,normal,0
38.77,12.49,79.83,normal,0
155.88,91.43,81.12,cpu_stress,1
49.9,33.32,84.84,recovery,0
75.48,24.33,84.3,recovery,0
165.41,24.7,95.64,memory_pressure,1
42.93,16.47,76.57,normal,0
34.19,14.24,79.18,normal,0
595.59,15.44,77.02,latency_degradation,1
423.23,14.88,79.05,latency_degradation,1
36.39,17.93,82.38,normal,0
36.28,12.8,78.26,normal,0
524.5,9.49,81.06,latency_degradation,1
183.01,90.57,80.42,cpu_stress,1
42.37,5.06,77.56,normal,0
64.51,42.69,80.94,recovery,0
204.29,91.23,81.74,cpu_stress,1
545.42,13.39,80.74,latency_degradation,1
43.99,14.31,79.3,normal,0
51.52,22.84,82.44,recovery,0
57.14,31.23,82.16,recovery,0
159.28,85.2,80.49,cpu_stress,1
53.02,24.48,83.24,recovery,0
49.37,24.76,85.54,recovery,0
141.85,21.54,97.13,memory_pressure,1
43.43,11.54,79.8,normal,0
43.03,14.63,74.16,normal,0
43.93,13.88,79.43,normal,0
158.75,30.73,94.52,memory_pressure,1
375.08,26.48,79.42,latency_degradation,1
453.57,11.78,75.44,latency_degradation,1
501.11,19.74,77.92,latency_degradation,1
37.77,19.11,75.56,normal,0
59.73,32.76,83.64,recovery,0
50.87,25.67,81.08,recovery,0
43.43,22.39,76.96,normal,0
498.55,18.99,78.71,latency_degradation,1
42.97,5.43,74.55,normal,0
185.6,88.06,79.2,cpu_stress,1
43.18,16.31,78.01,normal,0
516.8,12.37,83.89,latency_degradation,1
147.07,18.51,98.53,memory_pressure,1
492.45,18.28,81.19,latency_degradation,1
50.43,19.17,82.94,recovery,0
188.31,84.26,82.1,cpu_stress,1
43.89,14.64,76.31,normal,0
195.57,82.66,78.72,cpu_stress,1
161.02,88.75,79.68,cpu_stress,1
53.58,19.41,79.24,recovery,0
39.82,15.55,75.7,normal,0
44.28,20.68,79.91,normal,0
57.17,16.06,79.84,recovery,0
42.86,8.77,78.35,normal,0
37.75,17.37,76.16,normal,0
47.01,31.89,81.57,recovery,0
149.39,21.55,95.59,memory_pressure,1
45.16,10.45,80.81,normal,0
160.67,88.12,80.0,cpu_stress,1
66.63,36.06,80.95,recovery,0
486.14,21.48,82.7,latency_degradation,1
136.04,36.79,96.05,memory_pressure,1
39.42,16.81,81.08,normal,0
59.88,28.92,84.16,recovery,0
179.69,83.51,79.15,cpu_stress,1
45.46,9.0,77.33,normal,0
528.29,27.41,81.69,latency_degradation,1
549.39,18.37,76.42,latency_degradation,1
37.33,20.71,79.5,normal,0
518.47,9.45,76.3,latency_degradation,1
49.15,24.77,85.59,recovery,0
59.97,14.01,80.55,recovery,0
140.42,22.33,96.57,memory_pressure,1
41.54,13.49,75.04,normal,0
47.23,6.96,78.37,normal,0
48.34,8.81,82.27,normal,0
41.71,28.01,82.42,recovery,0
432.26,15.38,79.98,latency_degradation,1
63.52,21.38,84.82,recovery,0
581.34,20.07,82.75,latency_degradation,1
164.07,20.46,93.87,memory_pressure,1
39.99,7.25,78.14,normal,0
567.59,16.66,76.79,latency_degradation,1
181.85,96.14,76.24,cpu_stress,1
160.37,35.06,96.49,memory_pressure,1
465.58,15.27,78.93,latency_degradation,1
63.43,18.35,87.26,recovery,0
44.17,12.68,77.07,normal,0
180.53,91.41,78.38,cpu_stress,1
44.63,10.13,79.57,normal,0
210.95,80.03,77.8,cpu_stress,1
48.09,13.83,77.53,normal,0
225.79,93.9,78.06,cpu_stress,1
