response_time_ms,cpu_percent,memory_percent,phase,actual_anomaly,predicted_anomaly,anomaly_score
589.76,21.27,78.89,latency_degradation,1,1,0.08142853770491087
55.23,25.21,83.88,recovery,0,0,-0.07628366963602262
157.86,18.79,95.17,memory_pressure,1,1,0.18003036225602065
43.5,12.0,77.42,normal,0,0,-0.15084220693143863
488.91,15.39,81.1,latency_degradation,1,1,0.09215015912883517
556.14,24.36,80.44,latency_degradation,1,1,0.06966546315637023
176.61,19.86,96.11,memory_pressure,1,1,0.1746940327623765
199.79,91.12,80.26,cpu_stress,1,1,0.1567988170127549
39.75,9.94,78.63,normal,0,0,-0.12714753233695175
123.9,15.23,96.07,memory_pressure,1,1,0.18599020549848932
494.2,15.28,79.8,latency_degradation,1,1,0.08572456565119779
38.74,14.61,78.68,normal,0,0,-0.136285048353176
654.4,18.3,79.03,latency_degradation,1,1,0.08503330687468202
48.2,11.08,77.36,normal,0,0,-0.08311166338240505
171.54,23.78,96.56,memory_pressure,1,1,0.17187023646179822
467.39,14.44,79.21,latency_degradation,1,1,0.08879333295887293
57.68,29.61,86.02,recovery,0,1,0.007461040161444443
474.39,12.94,75.69,latency_degradation,1,1,0.1066193737774751
147.39,91.35,79.73,cpu_stress,1,1,0.1604244279874677
170.78,18.78,95.71,memory_pressure,1,1,0.18003036225602065
50.58,18.17,73.95,normal,0,1,0.0006213712330167542
165.91,83.89,79.49,cpu_stress,1,1,0.16482723955951606
454.68,14.94,76.19,latency_degradation,1,1,0.0969402900785471
47.61,15.54,80.05,recovery,0,0,-0.13029242243296768
200.64,92.07,81.61,cpu_stress,1,1,0.15784983660682572
38.04,12.17,78.2,normal,0,0,-0.121760622411552
58.06,26.17,82.98,recovery,0,0,-0.08651908816050108
69.77,29.09,81.28,recovery,0,1,0.010752309538086369
113.96,15.91,98.05,memory_pressure,1,1,0.18395346289632697
497.74,23.52,79.23,latency_degradation,1,1,0.07893313179602235
40.46,11.62,79.22,normal,0,0,-0.14525083818171836
161.55,19.83,98.28,memory_pressure,1,1,0.1746940327623765
41.06,7.92,77.16,normal,0,0,-0.0914005903493389
41.86,22.82,72.76,normal,0,1,0.057556526019747145
483.64,4.52,78.89,latency_degradation,1,1,0.14022589033853672
172.78,89.61,77.35,cpu_stress,1,1,0.16819342473788057
41.1,15.34,75.15,normal,0,0,-0.10446063126087274
47.77,7.82,80.33,normal,0,0,-0.06806601233495024
45.25,8.85,78.45,normal,0,0,-0.12047184329258048
42.33,26.57,74.27,normal,0,1,0.020064449625358693
40.46,15.57,79.32,normal,0,0,-0.14456224585310468
39.14,18.4,76.54,normal,0,0,-0.09917876822463756
50.58,29.43,82.41,recovery,0,0,-0.09947253102256914
44.5,10.71,75.86,normal,0,0,-0.09166495721406603
42.87,15.23,76.7,normal,0,0,-0.14046107267934177
35.94,12.77,79.71,normal,0,0,-0.08627684862323703
457.74,10.96,75.89,latency_degradation,1,1,0.10649447933804201
477.51,21.55,79.89,latency_degradation,1,1,0.07169043765990202
163.07,92.88,78.71,cpu_stress,1,1,0.167284420901332
536.96,20.97,78.38,latency_degradation,1,1,0.08245084836147276
176.71,18.22,96.79,memory_pressure,1,1,0.18115159748602194
173.26,91.59,82.0,cpu_stress,1,1,0.15927646701681442
509.02,16.18,78.89,latency_degradation,1,1,0.08570084146595358
46.36,15.32,75.84,normal,0,0,-0.09816260541162675
59.06,32.47,84.34,recovery,0,0,-0.0280551395074784
54.72,26.64,85.1,recovery,0,0,-0.052034061094696216
40.03,12.05,79.7,normal,0,0,-0.14031154306349952
42.8,12.0,78.14,normal,0,0,-0.15599705070802017
164.71,29.63,93.78,memory_pressure,1,1,0.1730941311374935
45.29,15.44,77.4,normal,0,0,-0.13586015330462647
519.57,11.74,80.85,latency_degradation,1,1,0.09456647637676496
47.81,13.68,83.44,normal,0,0,-0.05702906230361399
38.37,7.94,80.93,normal,0,0,-0.04892685966549315
151.76,22.07,95.35,memory_pressure,1,1,0.1741136632614042
175.03,14.98,96.82,memory_pressure,1,1,0.18599020549848932
42.39,19.84,76.6,normal,0,0,-0.1217561852307274
41.71,20.02,78.72,normal,0,0,-0.1322146702640531
49.98,37.69,83.42,recovery,0,1,0.014153023415821586
41.02,11.23,76.22,normal,0,0,-0.10590364189448831
167.89,22.47,96.43,memory_pressure,1,1,0.17402224627951512
154.85,81.93,81.32,cpu_stress,1,1,0.15488284577128741
234.75,83.96,77.32,cpu_stress,1,1,0.16783849956527397
478.34,23.8,76.84,latency_degradation,1,1,0.10163355807307695
182.88,27.03,95.38,memory_pressure,1,1,0.172630703554152
226.9,92.75,77.85,cpu_stress,1,1,0.17072407243527976
57.31,42.19,80.72,recovery,0,1,0.05822871231623106
40.1,11.73,81.53,normal,0,0,-0.08296895832564033
50.49,20.16,74.96,normal,0,0,-0.024523543524334945
42.23,9.29,78.72,normal,0,0,-0.13574072954254235
50.1,22.29,82.57,recovery,0,0,-0.11014377935302233
177.63,24.95,98.22,memory_pressure,1,1,0.17133877225126082
146.01,26.28,95.83,memory_pressure,1,1,0.17245210142952272
40.76,16.66,79.95,normal,0,0,-0.13549151242660784
216.28,92.8,83.31,cpu_stress,1,1,0.16134474589149927
42.75,11.69,79.7,normal,0,0,-0.1482055446859064
186.12,85.47,78.06,cpu_stress,1,1,0.16947815923999043
179.52,82.99,78.96,cpu_stress,1,1,0.169138032216541
38.91,13.82,77.03,normal,0,0,-0.10904491015760642
39.12,12.7,80.11,normal,0,0,-0.1288575224898867
39.59,24.26,77.97,normal,0,0,-0.05587728554814908
172.66,38.62,96.27,memory_pressure,1,1,0.20753045292323824
195.26,87.9,79.23,cpu_stress,1,1,0.16824986577595358
36.49,10.31,79.03,normal,0,0,-0.07061108040399011
479.44,16.14,76.18,latency_degradation,1,1,0.09637668296797064
41.89,15.3,82.93,normal,0,0,-0.07743952808283755
43.37,6.18,78.65,normal,0,0,-0.08932336379576977
152.31,31.04,95.13,memory_pressure,1,1,0.17283514452665283
179.18,77.66,78.82,cpu_stress,1,1,0.167284420901332
73.39,22.46,81.11,recovery,0,1,0.04925376500751344
44.24,20.42,80.11,normal,0,0,-0.13146831079003002
426.67,21.56,78.52,latency_degradation,1,1,0.0840459187318201
44.06,17.58,85.71,normal,0,0,-0.001892247648231593
40.69,13.04,75.07,normal,0,0,-0.08911067159994907
147.92,25.52,95.77,memory_pressure,1,1,0.17132312404657368
63.43,24.72,83.36,recovery,0,0,-0.04840964425701394
453.33,12.45,82.5,latency_degradation,1,1,0.11281209817164317
231.52,96.78,78.5,cpu_stress,1,1,0.16763906696238895
46.12,19.66,76.32,normal,0,0,-0.09958846234326968
188.83,10.17,94.8,memory_pressure,1,1,0.18907754503502083
43.12,11.89,77.58,normal,0,0,-0.14886596423567255
137.17,94.77,78.77,cpu_stress,1,1,0.167284420901332
61.67,28.21,81.86,recovery,0,0,-0.05908598443720586
43.78,18.87,76.15,normal,0,0,-0.12264433260666519
531.06,14.37,79.37,latency_degradation,1,1,0.08678170208453373
528.36,19.28,80.97,latency_degradation,1,1,0.07673488428536634
162.04,86.93,79.62,cpu_stress,1,1,0.16271033027616733
137.42,87.72,79.77,cpu_stress,1,1,0.1604244279874677
50.86,26.57,81.97,recovery,0,0,-0.10323892239780502
150.45,27.87,96.5,memory_pressure,1,1,0.1712817284383562
528.86,19.12,77.42,latency_degradation,1,1,0.08973970180969582
43.65,19.11,81.79,normal,0,0,-0.11212756009962704
170.02,19.13,96.15,memory_pressure,1,1,0.17748663819723765
183.36,26.53,96.51,memory_pressure,1,1,0.172630703554152
198.19,16.61,96.84,memory_pressure,1,1,0.1855352403732321
182.89,93.9,79.14,cpu_stress,1,1,0.167894912186057
60.6,20.97,82.24,recovery,0,0,-0.056325883044731795
41.23,16.51,77.93,normal,0,0,-0.13986577132183542
160.82,92.36,79.37,cpu_stress,1,1,0.16683112334212746
164.96,22.24,94.73,memory_pressure,1,1,0.1741136632614042
50.75,20.64,80.89,recovery,0,0,-0.11449434173920264
151.88,80.33,81.56,cpu_stress,1,1,0.15784983660682572
